,coef,std err,t,P>|t|,[0.025,0.975]
2004 beta:GICS_SECTOR_NAME[Real Estate],0.0004,0.0,0.924,0.35600000000000004,-0.0,0.001
2004 beta:GICS_SECTOR_NAME[Utilities],0.0005,0.0,1.4569999999999999,0.146,-0.0,0.001
2004 Intercept,0.0007,0.0,5.859,0.0,0.0,0.001
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],-0.0003,0.0,-1.746,0.081,-0.001,3.9200000000000004e-05
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],0.0002,0.0,1.264,0.207,-9.329999999999999e-05,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],-0.0003,0.0,-1.2329999999999999,0.218,-0.001,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],0.0005,0.0,2.383,0.018000000000000002,8.65e-05,0.001
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],-0.0002,0.0,-1.186,0.23600000000000002,-0.0,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-0.0001,0.0,-0.701,0.484,-0.0,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],-4.762e-05,0.0,-0.35,0.726,-0.0,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0002,0.0,1.315,0.18899999999999997,-8.740000000000001e-05,0.0
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0002,0.0,0.42,0.675,-0.001,0.001
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],-0.0002,8.82e-05,-2.4419999999999997,0.015,-0.0,-4.2e-05
2004 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],-5.965e-05,0.0,-0.244,0.807,-0.001,0.0
2005 Intercept,-0.0003,0.0,-1.8940000000000001,0.059000000000000004,-0.001,1.05e-05
2005 beta:Cluster[Cluster 0],0.0005,0.0,3.951,0.0,0.0,0.001
2005 beta:Cluster[Cluster 1],0.0015,0.0,6.377999999999999,0.0,0.001,0.002
2005 beta:Cluster[Cluster 10],0.0009,0.0,4.263999999999999,0.0,0.0,0.001
2005 beta:Cluster[Cluster 2],0.0017,0.0,11.045,0.0,0.001,0.002
2005 beta:Cluster[Cluster 3],0.0006,0.0,2.753,0.006,0.0,0.001
2005 beta:Cluster[Cluster 4],0.0005,0.0,3.036,0.003,0.0,0.001
2005 beta:Cluster[Cluster 5],0.0005,0.0,3.842,0.0,0.0,0.001
